#,Category,Sub Category,Difficulty,Question,Correct answer,Incorrect answer 1,Incorrect answer 2,Incorrect answer 4
1,Books,Lord of the Rings,Hard,In what year was the first 'Lord of the Rings' book published?,1954,1964,1944,1974
3,Books,Non- Fiction,Medium,"Who wrote 'The Prince', a famous work that redefined the beliefs of cynicism in the Italian Renaissance?",Niccolò Machiavelli,Thomas Hobbes,Thomas More,Desiderius Erasmus
4,Books,Thriller,Easy,Who wrote the novel 'The Girl with the Dragon Tattoo'?,Stieg Larsson,Henning Mankell,Jo Nesbø,Camilla Läckberg
5,Business & Tech,Business & Tech,Easy,"Evan Spiegel, Reggie Brown Poster and Bobby Murphy are the founders of which popular app?",Snapchat,Snaptalk,Snapgossip,Snapspeak
6,Business & Tech,Business & Tech,Easy,Which video sharing social network was founded in 2016?,TikTok,TipTop,Facebook ,Snapchat
7,Business & Tech,Technology, Easy,What is the name of the most famous cryptocurrency?,Bitcoin,Piecemoney,VirtualDollar,CashEx
8,Business & Tech,Technology, Easy,What is the opposite of digital?,Analogue,Vertical,Horizontal,Old-Fashioned
9,Decades,1950s,Easy,What was the first name of 1950s US President Eisenhower?,Dwight,David,Dwayne,Delbert
10,Decades,1960s,Easy,Jimi Hendrix burnt which instrument for the first time in 1967?,Guitar,Drums,Piano,Saxophone
11,Entertainment,Actors & Celebrities,Easy,John Travolta played Vincent Vega in what 1994 film?,Pulp Fiction,Speed,Natural Born Killers,Dumb and Dumber
12,Entertainment,Awards,Easy,The Hollywood Walk of Fame can be found in which American city?,Los Angeles,Las Vegas,Miami,San Diego
13,Entertainment,Cartoon & Animation,Easy,The character Squidwad features in which of these cartoon series?,SpongeBob SquarePants,The Fairly Odd Parents,Rocko's Modern Life,Rugrats
14,Entertainment,Cartoon & Animation,Medium,In which U.S. state is the animated series 'King of the Hill' set?,Texas,Mississippi,Vermont,Oregon
15,Entertainment,Celebrity Couples / Marriages,Easy,"In 2019, singer Katy Perry got engaged to which Pirates of the Caribbean star?",Orlando Bloom,Johnny Depp,Geoffrey Rush,Russell Brand
16,Entertainment,Celebrity Couples / Marriages,Medium,Nick Jonas is married to which famous Bollywood actress?,Priyanka Chopra,Kareena Kapoor,Anushka Sharma,Katrina Kaif
